comment,commentNUM,name,rate
希望让人自由。,991347人评价,肖申克的救赎,9.6
风华绝代。,720280人评价,霸王别姬,9.5
怪蜀黍和小萝莉不得不说的故事。,934387人评价,这个杀手不太冷,9.4
一部美国近现代史。,794766人评价,阿甘正传,9.4
最美的谎言。,464311人评价,美丽人生,9.5
最好的宫崎骏，最好的久石让。 ,743463人评价,千与千寻,9.2
失去的才是永恒的。 ,734156人评价,泰坦尼克号,9.2
拯救一个人，就是拯救整个世界。,423163人评价,辛德勒的名单,9.4
诺兰给了我们一场无法盗取的梦。,836267人评价,盗梦空间,9.3
小瓦力，大人生。,548370人评价,机器人总动员,9.3
每个人都要走一条自己坚定了的路，就算是粉身碎骨。 ,646281人评价,海上钢琴师,9.2
英俊版憨豆，高情商版谢耳朵。,749880人评价,三傻大闹宝莱坞,9.2
永远都不能忘记你所爱的人。,515420人评价,忠犬八公的故事,9.2
天籁一般的童声，是最接近上帝的存在。 ,501335人评价,放牛班的春天,9.2
一生所爱。,547347人评价,大话西游之大圣娶亲,9.2
如果再也不能见到你，祝你早安，午安，晚安。,517285人评价,楚门的世界,9.1
千万不要记恨你的对手，这样会让你失去理智。,377257人评价,教父,9.2
人人心中都有个龙猫，童年就永远不会消失。,462660人评价,龙猫,9.1
我们一路奋战不是为了改变世界，而是为了不让世界改变我们。,299969人评价,熔炉,9.2
Tomorrow is another day.,294082人评价,乱世佳人,9.2
爱是一种力量，让我们超越时空感知它的存在。,545015人评价,星际穿越,9.2
满满温情的高雅喜剧。,405705人评价,触不可及,9.1
香港电影史上永不过时的杰作。,446955人评价,无间道,9.0
平民励志片。 ,593354人评价,当幸福来敲门,8.9
那些吻戏，那些青春，都在影院的黑暗里被泪水冲刷得无比清晰。,332791人评价,天堂电影院,9.1
真正的幸福是来自内心深处。,616850人评价,怦然心动,8.9
1957年的理想主义。 ,187127人评价,十二怒汉,9.4
邪恶与平庸蛰伏于同一个母体，在特定的时间互相对峙。,428482人评价,搏击俱乐部,9.0
瑰丽壮观、无人能及的冒险之旅。,628925人评价,少年派的奇幻漂流,9.0
对敌人的仁慈，就是对自己残忍。,254062人评价,鬼子来了,9.2
史诗的终章。,309025人评价,指环王3：王者无敌,9.1
无尽的黑暗。,358173人评价,蝙蝠侠：黑暗骑士,9.0
张艺谋最好的电影。,298685人评价,活着,9.1
对天空的追逐，永不停止。 ,362431人评价,天空之城,9.0
爱情哪怕只有一天。,418369人评价,罗马假日,8.9
旷古烁今。,440800人评价,大话西游之月光宝盒,8.9
最后那些最无聊的事情，才是最值得怀念的。 ,543741人评价,飞屋环游记,8.9
迪士尼给我们营造的乌托邦就是这样，永远善良勇敢，永远出乎意料。,567400人评价,疯狂动物城,9.2
别样人生。,243956人评价,窃听风暴,9.1
4个臭皮匠顶个诸葛亮，盖·里奇果然不是盖的。,292184人评价,两杆大烟枪,9.1
自由万岁。,296245人评价,飞越疯人院,9.0
比利·怀德满分作品。,106387人评价,控方证人,9.6
史上最美的探戈。,350508人评价,闻香识女人,8.9
海豚的微笑，是世界上最高明的伪装。,193202人评价,海豚湾,9.3
带着心爱的人在天空飞翔。,384218人评价,哈尔的移动城堡,8.9
一张面具背后的理想与革命。,454731人评价,V字仇杀队,8.8
电影的现实意义大过电影本身。,230359人评价,辩护人,9.1
当一个死水般的体制内出现一个活跃的变数时，所有的腐臭都站在了光明的对面。,302449人评价,死亡诗社,8.9
优雅的孤独。,203241人评价,教父2,9.1
爱是一切逻辑和原由。,327690人评价,美丽心灵,8.9
承前启后的史诗篇章。,290895人评价,指环王2：双塔奇兵,9.0
传说的开始。,325467人评价,指环王1：魔戒再现,8.9
暗恋的极致。,404012人评价,情书,8.8
人生不能像做菜，把所有的料都准备好了才下锅。,217844人评价,饮食男女,9.1
往事如烟，无处祭奠。,188123人评价,美国往事,9.1
动物版《哈姆雷特》。,303435人评价,狮子王,8.9
音乐能化解仇恨。,216453人评价,钢琴家,9.0
法式小清新。 ,512578人评价,天使爱美丽,8.7
警察抓小偷，老鼠玩死猫。,461993人评价,七宗罪,8.7
你不是在为你一个人战斗，你要让千千万万的女性看到女生并不是只能相夫教子。,498118人评价,摔跤吧！爸爸,9.1
以戏谑来戏谑戏谑。,312939人评价,被嫌弃的松子的一生,8.9
受过伤害的人总是笑得最开心，因为他们不愿意让身边的人承受一样的痛苦。,199702人评价,素媛,9.1
奔跑的孩子是天使。,149752人评价,小鞋子,9.2
孪生蝙蝠侠大战克隆金刚狼。,368984人评价,致命魔术,8.8
史诗大片的典范。,310940人评价,勇敢的心,8.8
用音乐化解仇恨，让歌声串起美好。,247211人评价,音乐之声,8.9
浪漫忧郁的成人童话。,515337人评价,剪刀手爱德华,8.7
在时间之河里感受溺水之苦。,418473人评价,本杰明·巴顿奇事,8.7
故事的高级讲法。,357848人评价,低俗小说,8.8
你以为你以为的就是你以为的。,358020人评价,看不见的客人,8.8
美丽无罪。,376922人评价,西西里的美丽传说,8.7
视觉革命。,300878人评价,黑客帝国,8.8
